code,description,hcc_v24,hcc_v28,is_specific,parent,children
A75.1,"Recrudescent typhus [Brill's disease]",,,true,,,
A75.2,"Typhus fever due to Rickettsia typhi",,,true,,,
A75.3,"Typhus fever due to Rickettsia tsutsugamushi",,,true,,,
A75.9,"Typhus fever, unspecified",,,true,,,
A77.0,"Spotted fever due to Rickettsia rickettsii",,,true,,,
A77.1,"Spotted fever due to Rickettsia conorii",,,true,,,
A77.2,"Spotted fever due to Rickettsia siberica",,,true,,,
A77.3,"Spotted fever due to Rickettsia australis",,,true,,,
A77.40,"Ehrlichiosis, unspecified",,,true,,,
A77.41,"Ehrlichiosis chaffeensis [E. chaffeensis]",,,true,,,
A77.49,"Other ehrlichiosis",,,true,,,
A77.8,"Other spotted fevers",,,true,,,
A77.9,"Spotted fever, unspecified",,,true,,,
A78,"Q fever",,,true,,,
A79.0,"Trench fever",,,true,,,
A79.1,"Rickettsialpox due to Rickettsia akari",,,true,,,
A79.81,"Rickettsiosis due to Ehrlichia sennetsu",,,true,,,
A79.82,"Anaplasmosis [A. phagocytophilum]",,,true,,,
A79.89,"Other specified rickettsioses",,,true,,,
A79.9,"Rickettsiosis, unspecified",,,true,,,
A80.0,"Acute paralytic poliomyelitis, vaccine-associated",,,true,,,
A80.1,"Acute paralytic poliomyelitis, wild virus, imported",,,true,,,
A80.2,"Acute paralytic poliomyelitis, wild virus, indigenous",,,true,,,
A80.30,"Acute paralytic poliomyelitis, unspecified",,,true,,,
A80.39,"Other acute paralytic poliomyelitis",,,true,,,
A80.4,"Acute nonparalytic poliomyelitis",,,true,,,
A80.9,"Acute poliomyelitis, unspecified",,,true,,,
A81.00,"Creutzfeldt-Jakob disease, unspecified",52,127,true,,,
A81.01,"Variant Creutzfeldt-Jakob disease",52,127,true,,,
A81.09,"Other Creutzfeldt-Jakob disease",52,127,true,,,
A81.1,"Subacute sclerosing panencephalitis",52,127,true,,,
