code,description,hcc_v24,hcc_v28,is_specific,parent,children
T83.31XS,"Breakdown (mechanical) of intrauterine contraceptive device, sequela",,,true,,,
T83.32XA,"Displacement of intrauterine contraceptive device, initial encounter",,,true,,,
T83.32XD,"Displacement of intrauterine contraceptive device, subsequent encounter",,,true,,,
T83.32XS,"Displacement of intrauterine contraceptive device, sequela",,,true,,,
T83.39XA,"Other mechanical complication of intrauterine contraceptive device, initial encounter",,,true,,,
T83.39XD,"Other mechanical complication of intrauterine contraceptive device, subsequent encounter",,,true,,,
T83.39XS,"Other mechanical complication of intrauterine contraceptive device, sequela",,,true,,,
T83.410A,"Breakdown (mechanical) of implanted penile prosthesis, initial encounter",176,,true,,,
T83.410D,"Breakdown (mechanical) of implanted penile prosthesis, subsequent encounter",,,true,,,
T83.410S,"Breakdown (mechanical) of implanted penile prosthesis, sequela",,,true,,,
T83.411A,"Breakdown (mechanical) of implanted testicular prosthesis, initial encounter",176,,true,,,
T83.411D,"Breakdown (mechanical) of implanted testicular prosthesis, subsequent encounter",,,true,,,
T83.411S,"Breakdown (mechanical) of implanted testicular prosthesis, sequela",,,true,,,
T83.418A,"Breakdown (mechanical) of other prosthetic devices, implants and grafts of genital tract, initial encounter",176,,true,,,
T83.418D,"Breakdown (mechanical) of other prosthetic devices, implants and grafts of genital tract, subsequent encounter",,,true,,,
T83.418S,"Breakdown (mechanical) of other prosthetic devices, implants and grafts of genital tract, sequela",,,true,,,
T83.420A,"Displacement of implanted penile prosthesis, initial encounter",176,,true,,,
T83.420D,"Displacement of implanted penile prosthesis, subsequent encounter",,,true,,,
T83.420S,"Displacement of implanted penile prosthesis, sequela",,,true,,,
T83.421A,"Displacement of implanted testicular prosthesis, initial encounter",176,,true,,,
T83.421D,"Displacement of implanted testicular prosthesis, subsequent encounter",,,true,,,
T83.421S,"Displacement of implanted testicular prosthesis, sequela",,,true,,,
T83.428A,"Displacement of other prosthetic devices, implants and grafts of genital tract, initial encounter",176,,true,,,
T83.428D,"Displacement of other prosthetic devices, implants and grafts of genital tract, subsequent encounter",,,true,,,
T83.428S,"Displacement of other prosthetic devices, implants and grafts of genital tract, sequela",,,true,,,
T83.490A,"Other mechanical complication of implanted penile prosthesis, initial encounter",176,,true,,,
T83.490D,"Other mechanical complication of implanted penile prosthesis, subsequent encounter",,,true,,,
T83.490S,"Other mechanical complication of implanted penile prosthesis, sequela",,,true,,,
T83.491A,"Other mechanical complication of implanted testicular prosthesis, initial encounter",176,,true,,,
T83.491D,"Other mechanical complication of implanted testicular prosthesis, subsequent encounter",,,true,,,
T83.491S,"Other mechanical complication of implanted testicular prosthesis, sequela",,,true,,,
T83.498A,"Other mechanical complication of other prosthetic devices, implants and grafts of genital tract, initial encounter",176,,true,,,
T83.498D,"Other mechanical complication of other prosthetic devices, implants and grafts of genital tract, subsequent encounter",,,true,,,
T83.498S,"Other mechanical complication of other prosthetic devices, implants and grafts of genital tract, sequela",,,true,,,
T83.510A,"Infection and inflammatory reaction due to cystostomy catheter, initial encounter",176,,true,,,
T83.510D,"Infection and inflammatory reaction due to cystostomy catheter, subsequent encounter",,,true,,,
T83.510S,"Infection and inflammatory reaction due to cystostomy catheter, sequela",,,true,,,
T83.511A,"Infection and inflammatory reaction due to indwelling urethral catheter, initial encounter",176,,true,,,
T83.511D,"Infection and inflammatory reaction due to indwelling urethral catheter, subsequent encounter",,,true,,,
T83.511S,"Infection and inflammatory reaction due to indwelling urethral catheter, sequela",,,true,,,
T83.512A,"Infection and inflammatory reaction due to nephrostomy catheter, initial encounter",176,,true,,,
T83.512D,"Infection and inflammatory reaction due to nephrostomy catheter, subsequent encounter",,,true,,,
T83.512S,"Infection and inflammatory reaction due to nephrostomy catheter, sequela",,,true,,,
T83.518A,"Infection and inflammatory reaction due to other urinary catheter, initial encounter",176,,true,,,
T83.518D,"Infection and inflammatory reaction due to other urinary catheter, subsequent encounter",,,true,,,
T83.518S,"Infection and inflammatory reaction due to other urinary catheter, sequela",,,true,,,
T83.590A,"Infection and inflammatory reaction due to implanted urinary neurostimulation device, initial encounter",176,,true,,,
T83.590D,"Infection and inflammatory reaction due to implanted urinary neurostimulation device, subsequent encounter",,,true,,,
T83.590S,"Infection and inflammatory reaction due to implanted urinary neurostimulation device, sequela",,,true,,,
T83.591A,"Infection and inflammatory reaction due to implanted urinary sphincter, initial encounter",176,,true,,,
T83.591D,"Infection and inflammatory reaction due to implanted urinary sphincter, subsequent encounter",,,true,,,
T83.591S,"Infection and inflammatory reaction due to implanted urinary sphincter, sequela",,,true,,,
T83.592A,"Infection and inflammatory reaction due to indwelling ureteral stent, initial encounter",176,,true,,,
T83.592D,"Infection and inflammatory reaction due to indwelling ureteral stent, subsequent encounter",,,true,,,
T83.592S,"Infection and inflammatory reaction due to indwelling ureteral stent, sequela",,,true,,,
T83.593A,"Infection and inflammatory reaction due to other urinary stents, initial encounter",176,,true,,,
T83.593D,"Infection and inflammatory reaction due to other urinary stents, subsequent encounter",,,true,,,
T83.593S,"Infection and inflammatory reaction due to other urinary stents, sequela",,,true,,,
T83.598A,"Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system, initial encounter",176,,true,,,
T83.598D,"Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system, subsequent encounter",,,true,,,
T83.598S,"Infection and inflammatory reaction due to other prosthetic device, implant and graft in urinary system, sequela",,,true,,,
T83.61XA,"Infection and inflammatory reaction due to implanted penile prosthesis, initial encounter",176,,true,,,
T83.61XD,"Infection and inflammatory reaction due to implanted penile prosthesis, subsequent encounter",,,true,,,
T83.61XS,"Infection and inflammatory reaction due to implanted penile prosthesis, sequela",,,true,,,
T83.62XA,"Infection and inflammatory reaction due to implanted testicular prosthesis, initial encounter",176,,true,,,
T83.62XD,"Infection and inflammatory reaction due to implanted testicular prosthesis, subsequent encounter",,,true,,,
T83.62XS,"Infection and inflammatory reaction due to implanted testicular prosthesis, sequela",,,true,,,
T83.69XA,"Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, initial encounter",176,,true,,,
T83.69XD,"Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, subsequent encounter",,,true,,,
T83.69XS,"Infection and inflammatory reaction due to other prosthetic device, implant and graft in genital tract, sequela",,,true,,,
T83.711A,"Erosion of implanted vaginal mesh to surrounding organ or tissue, initial encounter",176,,true,,,
T83.711D,"Erosion of implanted vaginal mesh to surrounding organ or tissue, subsequent encounter",,,true,,,
T83.711S,"Erosion of implanted vaginal mesh to surrounding organ or tissue, sequela",,,true,,,
T83.712A,"Erosion of implanted urethral mesh to surrounding organ or tissue, initial encounter",176,,true,,,
T83.712D,"Erosion of implanted urethral mesh to surrounding organ or tissue, subsequent encounter",,,true,,,
T83.712S,"Erosion of implanted urethral mesh to surrounding organ or tissue, sequela",,,true,,,
T83.713A,"Erosion of implanted urethral bulking agent to surrounding organ or tissue, initial encounter",176,,true,,,
T83.713D,"Erosion of implanted urethral bulking agent to surrounding organ or tissue, subsequent encounter",,,true,,,
T83.713S,"Erosion of implanted urethral bulking agent to surrounding organ or tissue, sequela",,,true,,,
T83.714A,"Erosion of implanted ureteral bulking agent to surrounding organ or tissue, initial encounter",176,,true,,,
T83.714D,"Erosion of implanted ureteral bulking agent to surrounding organ or tissue, subsequent encounter",,,true,,,
T83.714S,"Erosion of implanted ureteral bulking agent to surrounding organ or tissue, sequela",,,true,,,
T83.718A,"Erosion of other implanted mesh to organ or tissue, initial encounter",176,,true,,,
T83.718D,"Erosion of other implanted mesh to organ or tissue, subsequent encounter",,,true,,,
T83.718S,"Erosion of other implanted mesh to organ or tissue, sequela",,,true,,,
T83.719A,"Erosion of other prosthetic materials to surrounding organ or tissue, initial encounter",176,,true,,,
T83.719D,"Erosion of other prosthetic materials to surrounding organ or tissue, subsequent encounter",,,true,,,
T83.719S,"Erosion of other prosthetic materials to surrounding organ or tissue, sequela",,,true,,,
T83.721A,"Exposure of implanted vaginal mesh into vagina, initial encounter",176,,true,,,
T83.721D,"Exposure of implanted vaginal mesh into vagina, subsequent encounter",,,true,,,
T83.721S,"Exposure of implanted vaginal mesh into vagina, sequela",,,true,,,
T83.722A,"Exposure of implanted urethral mesh into urethra, initial encounter",176,,true,,,
T83.722D,"Exposure of implanted urethral mesh into urethra, subsequent encounter",,,true,,,
T83.722S,"Exposure of implanted urethral mesh into urethra, sequela",,,true,,,
T83.723A,"Exposure of implanted urethral bulking agent into urethra, initial encounter",176,,true,,,
T83.723D,"Exposure of implanted urethral bulking agent into urethra, subsequent encounter",,,true,,,
T83.723S,"Exposure of implanted urethral bulking agent into urethra, sequela",,,true,,,
T83.724A,"Exposure of implanted ureteral bulking agent into ureter, initial encounter",176,,true,,,
T83.724D,"Exposure of implanted ureteral bulking agent into ureter, subsequent encounter",,,true,,,
T83.724S,"Exposure of implanted ureteral bulking agent into ureter, sequela",,,true,,,
T83.728A,"Exposure of other implanted mesh into organ or tissue, initial encounter",176,,true,,,
T83.728D,"Exposure of other implanted mesh into organ or tissue, subsequent encounter",,,true,,,
T83.728S,"Exposure of other implanted mesh into organ or tissue, sequela",,,true,,,
T83.729A,"Exposure of other prosthetic materials into organ or tissue, initial encounter",176,,true,,,
T83.729D,"Exposure of other prosthetic materials into organ or tissue, subsequent encounter",,,true,,,
T83.729S,"Exposure of other prosthetic materials into organ or tissue, sequela",,,true,,,
T83.79XA,"Other specified complications due to other genitourinary prosthetic materials, initial encounter",176,,true,,,
T83.79XD,"Other specified complications due to other genitourinary prosthetic materials, subsequent encounter",,,true,,,
T83.79XS,"Other specified complications due to other genitourinary prosthetic materials, sequela",,,true,,,
T83.81XA,"Embolism due to genitourinary prosthetic devices, implants and grafts, initial encounter",176,,true,,,
T83.81XD,"Embolism due to genitourinary prosthetic devices, implants and grafts, subsequent encounter",,,true,,,
T83.81XS,"Embolism due to genitourinary prosthetic devices, implants and grafts, sequela",,,true,,,
T83.82XA,"Fibrosis due to genitourinary prosthetic devices, implants and grafts, initial encounter",176,,true,,,
T83.82XD,"Fibrosis due to genitourinary prosthetic devices, implants and grafts, subsequent encounter",,,true,,,
T83.82XS,"Fibrosis due to genitourinary prosthetic devices, implants and grafts, sequela",,,true,,,
T83.83XA,"Hemorrhage due to genitourinary prosthetic devices, implants and grafts, initial encounter",176,,true,,,
T83.83XD,"Hemorrhage due to genitourinary prosthetic devices, implants and grafts, subsequent encounter",,,true,,,
T83.83XS,"Hemorrhage due to genitourinary prosthetic devices, implants and grafts, sequela",,,true,,,
T83.84XA,"Pain due to genitourinary prosthetic devices, implants and grafts, initial encounter",176,,true,,,
T83.84XD,"Pain due to genitourinary prosthetic devices, implants and grafts, subsequent encounter",,,true,,,
T83.84XS,"Pain due to genitourinary prosthetic devices, implants and grafts, sequela",,,true,,,
T83.85XA,"Stenosis due to genitourinary prosthetic devices, implants and grafts, initial encounter",176,,true,,,
T83.85XD,"Stenosis due to genitourinary prosthetic devices, implants and grafts, subsequent encounter",,,true,,,
T83.85XS,"Stenosis due to genitourinary prosthetic devices, implants and grafts, sequela",,,true,,,
T83.86XA,"Thrombosis due to genitourinary prosthetic devices, implants and grafts, initial encounter",176,,true,,,
T83.86XD,"Thrombosis due to genitourinary prosthetic devices, implants and grafts, subsequent encounter",,,true,,,
T83.86XS,"Thrombosis due to genitourinary prosthetic devices, implants and grafts, sequela",,,true,,,
T83.89XA,"Other specified complication of genitourinary prosthetic devices, implants and grafts, initial encounter",176,,true,,,
T83.89XD,"Other specified complication of genitourinary prosthetic devices, implants and grafts, subsequent encounter",,,true,,,
T83.89XS,"Other specified complication of genitourinary prosthetic devices, implants and grafts, sequela",,,true,,,
T83.9XXA,"Unspecified complication of genitourinary prosthetic device, implant and graft, initial encounter",176,,true,,,
T83.9XXD,"Unspecified complication of genitourinary prosthetic device, implant and graft, subsequent encounter",,,true,,,
T83.9XXS,"Unspecified complication of genitourinary prosthetic device, implant and graft, sequela",,,true,,,
T84.010A,"Broken internal right hip prosthesis, initial encounter",176,,true,,,
T84.010D,"Broken internal right hip prosthesis, subsequent encounter",,,true,,,
T84.010S,"Broken internal right hip prosthesis, sequela",,,true,,,
T84.011A,"Broken internal left hip prosthesis, initial encounter",176,,true,,,
T84.011D,"Broken internal left hip prosthesis, subsequent encounter",,,true,,,
T84.011S,"Broken internal left hip prosthesis, sequela",,,true,,,
T84.012A,"Broken internal right knee prosthesis, initial encounter",176,,true,,,
T84.012D,"Broken internal right knee prosthesis, subsequent encounter",,,true,,,
T84.012S,"Broken internal right knee prosthesis, sequela",,,true,,,
T84.013A,"Broken internal left knee prosthesis, initial encounter",176,,true,,,
T84.013D,"Broken internal left knee prosthesis, subsequent encounter",,,true,,,
T84.013S,"Broken internal left knee prosthesis, sequela",,,true,,,
T84.018A,"Broken internal joint prosthesis, other site, initial encounter",176,,true,,,
T84.018D,"Broken internal joint prosthesis, other site, subsequent encounter",,,true,,,
T84.018S,"Broken internal joint prosthesis, other site, sequela",,,true,,,
T84.019A,"Broken internal joint prosthesis, unspecified site, initial encounter",176,,true,,,
T84.019D,"Broken internal joint prosthesis, unspecified site, subsequent encounter",,,true,,,
T84.019S,"Broken internal joint prosthesis, unspecified site, sequela",,,true,,,
T84.020A,"Dislocation of internal right hip prosthesis, initial encounter",176,,true,,,
T84.020D,"Dislocation of internal right hip prosthesis, subsequent encounter",,,true,,,
T84.020S,"Dislocation of internal right hip prosthesis, sequela",,,true,,,
T84.021A,"Dislocation of internal left hip prosthesis, initial encounter",176,,true,,,
T84.021D,"Dislocation of internal left hip prosthesis, subsequent encounter",,,true,,,
T84.021S,"Dislocation of internal left hip prosthesis, sequela",,,true,,,
T84.022A,"Instability of internal right knee prosthesis, initial encounter",176,,true,,,
T84.022D,"Instability of internal right knee prosthesis, subsequent encounter",,,true,,,
T84.022S,"Instability of internal right knee prosthesis, sequela",,,true,,,
T84.023A,"Instability of internal left knee prosthesis, initial encounter",176,,true,,,
T84.023D,"Instability of internal left knee prosthesis, subsequent encounter",,,true,,,
T84.023S,"Instability of internal left knee prosthesis, sequela",,,true,,,
T84.028A,"Dislocation of other internal joint prosthesis, initial encounter",176,,true,,,
T84.028D,"Dislocation of other internal joint prosthesis, subsequent encounter",,,true,,,
T84.028S,"Dislocation of other internal joint prosthesis, sequela",,,true,,,
T84.029A,"Dislocation of unspecified internal joint prosthesis, initial encounter",176,,true,,,
T84.029D,"Dislocation of unspecified internal joint prosthesis, subsequent encounter",,,true,,,
T84.029S,"Dislocation of unspecified internal joint prosthesis, sequela",,,true,,,
T84.030A,"Mechanical loosening of internal right hip prosthetic joint, initial encounter",176,,true,,,
T84.030D,"Mechanical loosening of internal right hip prosthetic joint, subsequent encounter",,,true,,,
T84.030S,"Mechanical loosening of internal right hip prosthetic joint, sequela",,,true,,,
T84.031A,"Mechanical loosening of internal left hip prosthetic joint, initial encounter",176,,true,,,
T84.031D,"Mechanical loosening of internal left hip prosthetic joint, subsequent encounter",,,true,,,
T84.031S,"Mechanical loosening of internal left hip prosthetic joint, sequela",,,true,,,
T84.032A,"Mechanical loosening of internal right knee prosthetic joint, initial encounter",176,,true,,,
T84.032D,"Mechanical loosening of internal right knee prosthetic joint, subsequent encounter",,,true,,,
T84.032S,"Mechanical loosening of internal right knee prosthetic joint, sequela",,,true,,,
T84.033A,"Mechanical loosening of internal left knee prosthetic joint, initial encounter",176,,true,,,
T84.033D,"Mechanical loosening of internal left knee prosthetic joint, subsequent encounter",,,true,,,
T84.033S,"Mechanical loosening of internal left knee prosthetic joint, sequela",,,true,,,
T84.038A,"Mechanical loosening of other internal prosthetic joint, initial encounter",176,,true,,,
T84.038D,"Mechanical loosening of other internal prosthetic joint, subsequent encounter",,,true,,,
T84.038S,"Mechanical loosening of other internal prosthetic joint, sequela",,,true,,,
T84.039A,"Mechanical loosening of unspecified internal prosthetic joint, initial encounter",176,,true,,,
T84.039D,"Mechanical loosening of unspecified internal prosthetic joint, subsequent encounter",,,true,,,
T84.039S,"Mechanical loosening of unspecified internal prosthetic joint, sequela",,,true,,,
T84.050A,"Periprosthetic osteolysis of internal prosthetic right hip joint, initial encounter",176,,true,,,
T84.050D,"Periprosthetic osteolysis of internal prosthetic right hip joint, subsequent encounter",,,true,,,
T84.050S,"Periprosthetic osteolysis of internal prosthetic right hip joint, sequela",,,true,,,
T84.051A,"Periprosthetic osteolysis of internal prosthetic left hip joint, initial encounter",176,,true,,,
T84.051D,"Periprosthetic osteolysis of internal prosthetic left hip joint, subsequent encounter",,,true,,,
T84.051S,"Periprosthetic osteolysis of internal prosthetic left hip joint, sequela",,,true,,,
T84.052A,"Periprosthetic osteolysis of internal prosthetic right knee joint, initial encounter",176,,true,,,
T84.052D,"Periprosthetic osteolysis of internal prosthetic right knee joint, subsequent encounter",,,true,,,
T84.052S,"Periprosthetic osteolysis of internal prosthetic right knee joint, sequela",,,true,,,
T84.053A,"Periprosthetic osteolysis of internal prosthetic left knee joint, initial encounter",176,,true,,,
T84.053D,"Periprosthetic osteolysis of internal prosthetic left knee joint, subsequent encounter",,,true,,,
T84.053S,"Periprosthetic osteolysis of internal prosthetic left knee joint, sequela",,,true,,,
T84.058A,"Periprosthetic osteolysis of other internal prosthetic joint, initial encounter",176,,true,,,
T84.058D,"Periprosthetic osteolysis of other internal prosthetic joint, subsequent encounter",,,true,,,
T84.058S,"Periprosthetic osteolysis of other internal prosthetic joint, sequela",,,true,,,
T84.059A,"Periprosthetic osteolysis of unspecified internal prosthetic joint, initial encounter",176,,true,,,
T84.059D,"Periprosthetic osteolysis of unspecified internal prosthetic joint, subsequent encounter",,,true,,,
T84.059S,"Periprosthetic osteolysis of unspecified internal prosthetic joint, sequela",,,true,,,
T84.060A,"Wear of articular bearing surface of internal prosthetic right hip joint, initial encounter",176,,true,,,
T84.060D,"Wear of articular bearing surface of internal prosthetic right hip joint, subsequent encounter",,,true,,,
T84.060S,"Wear of articular bearing surface of internal prosthetic right hip joint, sequela",,,true,,,
T84.061A,"Wear of articular bearing surface of internal prosthetic left hip joint, initial encounter",176,,true,,,
T84.061D,"Wear of articular bearing surface of internal prosthetic left hip joint, subsequent encounter",,,true,,,
T84.061S,"Wear of articular bearing surface of internal prosthetic left hip joint, sequela",,,true,,,
T84.062A,"Wear of articular bearing surface of internal prosthetic right knee joint, initial encounter",176,,true,,,
T84.062D,"Wear of articular bearing surface of internal prosthetic right knee joint, subsequent encounter",,,true,,,
T84.062S,"Wear of articular bearing surface of internal prosthetic right knee joint, sequela",,,true,,,
T84.063A,"Wear of articular bearing surface of internal prosthetic left knee joint, initial encounter",176,,true,,,
T84.063D,"Wear of articular bearing surface of internal prosthetic left knee joint, subsequent encounter",,,true,,,
T84.063S,"Wear of articular bearing surface of internal prosthetic left knee joint, sequela",,,true,,,
T84.068A,"Wear of articular bearing surface of other internal prosthetic joint, initial encounter",176,,true,,,
T84.068D,"Wear of articular bearing surface of other internal prosthetic joint, subsequent encounter",,,true,,,
T84.068S,"Wear of articular bearing surface of other internal prosthetic joint, sequela",,,true,,,
T84.069A,"Wear of articular bearing surface of unspecified internal prosthetic joint, initial encounter",176,,true,,,
T84.069D,"Wear of articular bearing surface of unspecified internal prosthetic joint, subsequent encounter",,,true,,,
T84.069S,"Wear of articular bearing surface of unspecified internal prosthetic joint, sequela",,,true,,,
T84.090A,"Other mechanical complication of internal right hip prosthesis, initial encounter",176,,true,,,
T84.090D,"Other mechanical complication of internal right hip prosthesis, subsequent encounter",,,true,,,
T84.090S,"Other mechanical complication of internal right hip prosthesis, sequela",,,true,,,
T84.091A,"Other mechanical complication of internal left hip prosthesis, initial encounter",176,,true,,,
T84.091D,"Other mechanical complication of internal left hip prosthesis, subsequent encounter",,,true,,,
T84.091S,"Other mechanical complication of internal left hip prosthesis, sequela",,,true,,,
T84.092A,"Other mechanical complication of internal right knee prosthesis, initial encounter",176,,true,,,
T84.092D,"Other mechanical complication of internal right knee prosthesis, subsequent encounter",,,true,,,
T84.092S,"Other mechanical complication of internal right knee prosthesis, sequela",,,true,,,
T84.093A,"Other mechanical complication of internal left knee prosthesis, initial encounter",176,,true,,,
T84.093D,"Other mechanical complication of internal left knee prosthesis, subsequent encounter",,,true,,,
T84.093S,"Other mechanical complication of internal left knee prosthesis, sequela",,,true,,,
T84.098A,"Other mechanical complication of other internal joint prosthesis, initial encounter",176,,true,,,
T84.098D,"Other mechanical complication of other internal joint prosthesis, subsequent encounter",,,true,,,
T84.098S,"Other mechanical complication of other internal joint prosthesis, sequela",,,true,,,
T84.099A,"Other mechanical complication of unspecified internal joint prosthesis, initial encounter",176,,true,,,
T84.099D,"Other mechanical complication of unspecified internal joint prosthesis, subsequent encounter",,,true,,,
T84.099S,"Other mechanical complication of unspecified internal joint prosthesis, sequela",,,true,,,
T84.110A,"Breakdown (mechanical) of internal fixation device of right humerus, initial encounter",176,,true,,,
T84.110D,"Breakdown (mechanical) of internal fixation device of right humerus, subsequent encounter",,,true,,,
T84.110S,"Breakdown (mechanical) of internal fixation device of right humerus, sequela",,,true,,,
T84.111A,"Breakdown (mechanical) of internal fixation device of left humerus, initial encounter",176,,true,,,
T84.111D,"Breakdown (mechanical) of internal fixation device of left humerus, subsequent encounter",,,true,,,
T84.111S,"Breakdown (mechanical) of internal fixation device of left humerus, sequela",,,true,,,
T84.112A,"Breakdown (mechanical) of internal fixation device of bone of right forearm, initial encounter",176,,true,,,
T84.112D,"Breakdown (mechanical) of internal fixation device of bone of right forearm, subsequent encounter",,,true,,,
T84.112S,"Breakdown (mechanical) of internal fixation device of bone of right forearm, sequela",,,true,,,
T84.113A,"Breakdown (mechanical) of internal fixation device of bone of left forearm, initial encounter",176,,true,,,
T84.113D,"Breakdown (mechanical) of internal fixation device of bone of left forearm, subsequent encounter",,,true,,,
T84.113S,"Breakdown (mechanical) of internal fixation device of bone of left forearm, sequela",,,true,,,
T84.114A,"Breakdown (mechanical) of internal fixation device of right femur, initial encounter",176,,true,,,
T84.114D,"Breakdown (mechanical) of internal fixation device of right femur, subsequent encounter",,,true,,,
T84.114S,"Breakdown (mechanical) of internal fixation device of right femur, sequela",,,true,,,
T84.115A,"Breakdown (mechanical) of internal fixation device of left femur, initial encounter",176,,true,,,
T84.115D,"Breakdown (mechanical) of internal fixation device of left femur, subsequent encounter",,,true,,,
T84.115S,"Breakdown (mechanical) of internal fixation device of left femur, sequela",,,true,,,
T84.116A,"Breakdown (mechanical) of internal fixation device of bone of right lower leg, initial encounter",176,,true,,,
T84.116D,"Breakdown (mechanical) of internal fixation device of bone of right lower leg, subsequent encounter",,,true,,,
T84.116S,"Breakdown (mechanical) of internal fixation device of bone of right lower leg, sequela",,,true,,,
T84.117A,"Breakdown (mechanical) of internal fixation device of bone of left lower leg, initial encounter",176,,true,,,
T84.117D,"Breakdown (mechanical) of internal fixation device of bone of left lower leg, subsequent encounter",,,true,,,
T84.117S,"Breakdown (mechanical) of internal fixation device of bone of left lower leg, sequela",,,true,,,
T84.119A,"Breakdown (mechanical) of internal fixation device of unspecified bone of limb, initial encounter",176,,true,,,
T84.119D,"Breakdown (mechanical) of internal fixation device of unspecified bone of limb, subsequent encounter",,,true,,,
T84.119S,"Breakdown (mechanical) of internal fixation device of unspecified bone of limb, sequela",,,true,,,
T84.120A,"Displacement of internal fixation device of right humerus, initial encounter",176,,true,,,
T84.120D,"Displacement of internal fixation device of right humerus, subsequent encounter",,,true,,,
T84.120S,"Displacement of internal fixation device of right humerus, sequela",,,true,,,
T84.121A,"Displacement of internal fixation device of left humerus, initial encounter",176,,true,,,
T84.121D,"Displacement of internal fixation device of left humerus, subsequent encounter",,,true,,,
T84.121S,"Displacement of internal fixation device of left humerus, sequela",,,true,,,
T84.122A,"Displacement of internal fixation device of bone of right forearm, initial encounter",176,,true,,,
T84.122D,"Displacement of internal fixation device of bone of right forearm, subsequent encounter",,,true,,,
T84.122S,"Displacement of internal fixation device of bone of right forearm, sequela",,,true,,,
T84.123A,"Displacement of internal fixation device of bone of left forearm, initial encounter",176,,true,,,
T84.123D,"Displacement of internal fixation device of bone of left forearm, subsequent encounter",,,true,,,
T84.123S,"Displacement of internal fixation device of bone of left forearm, sequela",,,true,,,
T84.124A,"Displacement of internal fixation device of right femur, initial encounter",176,,true,,,
T84.124D,"Displacement of internal fixation device of right femur, subsequent encounter",,,true,,,
T84.124S,"Displacement of internal fixation device of right femur, sequela",,,true,,,
T84.125A,"Displacement of internal fixation device of left femur, initial encounter",176,,true,,,
T84.125D,"Displacement of internal fixation device of left femur, subsequent encounter",,,true,,,
T84.125S,"Displacement of internal fixation device of left femur, sequela",,,true,,,
T84.126A,"Displacement of internal fixation device of bone of right lower leg, initial encounter",176,,true,,,
T84.126D,"Displacement of internal fixation device of bone of right lower leg, subsequent encounter",,,true,,,
T84.126S,"Displacement of internal fixation device of bone of right lower leg, sequela",,,true,,,
T84.127A,"Displacement of internal fixation device of bone of left lower leg, initial encounter",176,,true,,,
T84.127D,"Displacement of internal fixation device of bone of left lower leg, subsequent encounter",,,true,,,
T84.127S,"Displacement of internal fixation device of bone of left lower leg, sequela",,,true,,,
T84.129A,"Displacement of internal fixation device of unspecified bone of limb, initial encounter",176,,true,,,
T84.129D,"Displacement of internal fixation device of unspecified bone of limb, subsequent encounter",,,true,,,
T84.129S,"Displacement of internal fixation device of unspecified bone of limb, sequela",,,true,,,
T84.190A,"Other mechanical complication of internal fixation device of right humerus, initial encounter",176,,true,,,
T84.190D,"Other mechanical complication of internal fixation device of right humerus, subsequent encounter",,,true,,,
T84.190S,"Other mechanical complication of internal fixation device of right humerus, sequela",,,true,,,
T84.191A,"Other mechanical complication of internal fixation device of left humerus, initial encounter",176,,true,,,
T84.191D,"Other mechanical complication of internal fixation device of left humerus, subsequent encounter",,,true,,,
T84.191S,"Other mechanical complication of internal fixation device of left humerus, sequela",,,true,,,
T84.192A,"Other mechanical complication of internal fixation device of bone of right forearm, initial encounter",176,,true,,,
T84.192D,"Other mechanical complication of internal fixation device of bone of right forearm, subsequent encounter",,,true,,,
T84.192S,"Other mechanical complication of internal fixation device of bone of right forearm, sequela",,,true,,,
T84.193A,"Other mechanical complication of internal fixation device of bone of left forearm, initial encounter",176,,true,,,
T84.193D,"Other mechanical complication of internal fixation device of bone of left forearm, subsequent encounter",,,true,,,
T84.193S,"Other mechanical complication of internal fixation device of bone of left forearm, sequela",,,true,,,
T84.194A,"Other mechanical complication of internal fixation device of right femur, initial encounter",176,,true,,,
T84.194D,"Other mechanical complication of internal fixation device of right femur, subsequent encounter",,,true,,,
T84.194S,"Other mechanical complication of internal fixation device of right femur, sequela",,,true,,,
T84.195A,"Other mechanical complication of internal fixation device of left femur, initial encounter",176,,true,,,
T84.195D,"Other mechanical complication of internal fixation device of left femur, subsequent encounter",,,true,,,
T84.195S,"Other mechanical complication of internal fixation device of left femur, sequela",,,true,,,
T84.196A,"Other mechanical complication of internal fixation device of bone of right lower leg, initial encounter",176,,true,,,
T84.196D,"Other mechanical complication of internal fixation device of bone of right lower leg, subsequent encounter",,,true,,,
T84.196S,"Other mechanical complication of internal fixation device of bone of right lower leg, sequela",,,true,,,
T84.197A,"Other mechanical complication of internal fixation device of bone of left lower leg, initial encounter",176,,true,,,
T84.197D,"Other mechanical complication of internal fixation device of bone of left lower leg, subsequent encounter",,,true,,,
T84.197S,"Other mechanical complication of internal fixation device of bone of left lower leg, sequela",,,true,,,
T84.199A,"Other mechanical complication of internal fixation device of unspecified bone of limb, initial encounter",176,,true,,,
T84.199D,"Other mechanical complication of internal fixation device of unspecified bone of limb, subsequent encounter",,,true,,,
T84.199S,"Other mechanical complication of internal fixation device of unspecified bone of limb, sequela",,,true,,,
T84.210A,"Breakdown (mechanical) of internal fixation device of bones of hand and fingers, initial encounter",176,,true,,,
